「ねぇねぇ。なにブツブツ言ってるのー？」	？？？「呐呐。你在嘀咕什么呢？」
悪魔的な狂気のマッドサイエンティストとしてはお似合いだ。	对恶魔般的狂气的疯狂科学家来说倒是挺般配的。
	
親指を、ケータイの送信ボタンに添える。	拇指放到了手机的发信键上。
	
俺は、	我，
	
その指に、	向着指尖，
	
軽く力を込めて、	轻轻的使了点力，
	
メールを送信した––	将邮件发送了出去––
	
その、直後––	在那之后，紧接着––
	
「––っ」	伦太郎「––唔」
	
なんだ、今の、感覚は……？	什么，刚才的⋯⋯那感觉是⋯⋯？
	
いや、そんなことよりも……！	不对，先不管那些⋯⋯！
	
「消えた……」	伦太郎「消失了⋯⋯」
	
夏休み。	暑假。
	
正午。	正午。
	
秋葉原。	秋叶原。
	
駅から徒歩１分の、中央通り。	从车站徒步距离一分钟的中央大道。
	
そこから––	在那––
	
一瞬にして––	一瞬间––
	
何千人という通行人が––	数千的路人––
	
俺の視界から––	从我的视界内––
	
一斉に––	同时––
	
消失した。	消失了。
	
これは、夢か？ 幻覚でも見ているのか？	这是梦？ 还是幻觉？
	
分からない。	不清楚。
	
でも、消えたんだ。	可是，确实消失了。
	
その瞬間を、確かに見たんだ。	我清楚地看到了那个瞬间。
	
俺はただ、言葉も出ず、愕然となって、	惊愕得我说不出任何话，只能愕然地，
	
無人と化した秋葉原に、	在空无一人的秋叶原街上，
	
ただ１人、	独自一人，
	
立ち尽くしていて。	呆呆地站着。
	
混乱し、ふと見上げれば、	在头脑一片混乱中，我抬头望去，
	
ラジ館のビルに––	广播馆大楼––
	
俺たちがついさっきまでいた、８階あたりに––	我们直至刚才还所处的８楼上––
	
人工衛星が、突き刺さっていた。	正镶着一个人工卫星。
